名称,工艺功能,位置,电源功能,设备编码
休息室空调1,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.4.N4,
软启柜,,,===DY2.AH12.H02.ZB2.DP7,
超声波液位计LT8,=TA001.BJ01.TS01.BL08,++BF02.US02.,,ULG0108
电池屏: 电池屏,=TA001.EY01.TE03.,++BF01.US05.,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.4.,DCP0201
泵站1~2轴双电源切换照明配电箱（备）BMX2,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.10,
J变径管件,=TA001.ST01.TS01.UN.UN39,,,
10KV出线2,,,===DY2.AH12.H02,
W变径管件,=TA001.ST01.TT01.UN.UN22,,,
泵房电话、网络系统,=TA001.TB01.TN01.BF02,,,
浮球阀 - 螺纹: 15 mm,=TA001.BJ01.FQFM.FLS0106,++BF02.US02.,,FLS0106
XBDZ-3.6（风机）: K4-4,=TA001.TL01.BF01.GQ04,++BF01.US09.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.10.F4.SF01.,AF0104
光电感烟探测器: 点型,=TA001.TB01.FA01.FRSN.BQ09,,,ISD0106
泵房室内照明系统,=TA001.EY01.TE04.BF02,,,
W通用管件,=TA001.ST01.TT01.UN.UN03,,,
照明灯具: MX1-N1,=TA001.EY01.TE04.BF01.US02.EA01,++BF01.US02.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N1.BG01.,FPL0118
移动加日光感应探头,=TA001.EY01.TE04.,++BF01.US05.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N1.BG01,MDS0104
变压器走道插座2,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.3.N6,
备用,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.4.N7,
休息室1,,++BF01.US02,,BF01US02
1#雨水泵按钮箱 GK1,=TA001.EY01.TE03.,++BF02.,===DY1.AH1.H01.ZB1.C1DP1.3.DP4O.1.1.,WPB0101
照明灯具: SMX1-N6,=TA001.EY01.TE04.BF01.US09.EA02,++BF01.US09.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N6.BG01.,SSL0306
3#管理房风机,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.10.F3,
格栅间检修箱 JX5,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.11,
出水闸门螺杆启闭机2,=TA001.BJ01.OU01.QB02,++BF02.,,
声光报警器,=TA001.TB01.FA01.BF01.US01.SG01,++BF01.US01.,,AVA0104
备用,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N10,
2#雨水泵按钮箱 GK2,=TA001.EY01.TE03.,++BF02.,===DY1.AH1.H01.ZB1.C1DP1.3.DP5O.1.1.,WPB0102
泵站1~2轴双电源切换照明配电箱（常） BMX2,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.6,
变配电间及管理房火灾报警系统,=TA001.TB01.FA01.BF01,,,
变压器走道插座1,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.3.N4,
单相二眼三眼组合暗插座,=TA001.EY01.TE03.,++BF01.US02.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N6.XD01,PS0101
备用,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.5.10,
手动报警按钮: 标准,=TA001.TB01.FA01.ALRM.SF07,,,MFAB0107
J三通管件,=TA001.ST01.TS01.UN.UN32,,,
控制室火灾报警系统,=TA001.TB01.FA01.BF01.US05,,,
照明灯具: MX1-N2,=TA001.EY01.TE04.BF01.US01.EA03,++BF01.US01.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N2.BG01.,FPL0114
嵌入式内场平板灯,=TA001.EY01.TE04.BF01.US05.EA12,++BF01.US05.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N2.BG01.,FPL0103
备用,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.4.N8,
格栅除污机控制柜,=TA001.EY01.TE03.,++BF02.,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.1.3.,PB0101
监控器,=TA001.TB01.VS01.AF01,++BF01.US05.,,
10KV计量柜,=TA001.EY01.TE01.,++BF01.US06.,===DY2.,HSC0502
10KV系统,=TA001.EY01.TE01,,,
总线式消防电话插孔,=TA001.TB01.TN01.BF01.US08.XG01,++BF01.US08.,,
10KV变压器出线柜,=TA001.EY01.TE01.,++BF01.US06.,===DY2.AH12.,HSC0104
室外照明系统,=TA001.EY01.TE04.BG01,,,
控制室,,++BF01.US05,,BF01US05
智能光电感烟探测器,=TA001.TB01.FA01.BF01.US05.BQ01,++BF01.US05.,,MDS0104
语音+数据点,=TA001.TB01.TN01.BF01.US05.TD01,++BF01.US05.,,
进水闸门及格栅除污机配电箱 P1,=TA001.EY01.TE03.,++BF02.,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.1.,DB0501
弱电桥架3配件,=TA001.EY01.TY01.RF.UN07,,,
弱电桥架3配件,=TA001.EY01.TY01.RF.UN12,,,
泵站1~2轴双电源切换照明配电箱 BMX2,=TA001.EY01.TE03.,++BF02.US02.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.6.,SDB0201
语音+数据点,=TA001.TB01.TN01.BF01.US05.TD02,++BF01.US05.,,
照明灯具: MX1-N1,=TA001.EY01.TE04.BF01.US03.EA01,++BF01.US03.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.2.N1.BG02.,FPL0119
ZB1变压器,,,===DY1.AH1.H01.ZB1,
给排水排水系统,=TA001.ST01.TT01,,,
壁灯 - 托架: BMX2-N2,=TA001.EY01.TE04.BF02.EA09,++BF02.US02.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.6.N2.,AGL0108
语音+数据点2,=TA001.TB01.TN01.BF02.TD02,++BF02.,,
室外照明配电箱 WMX,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.7,
弱电桥架3配件,=TA001.EY01.TY01.RF.UN13,,,
格栅除污供电,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.1.3.1,
语音+数据点7,=TA001.TB01.TN01.BF02.TD07,++BF02.,,
智能光电感烟探测器,=TA001.TB01.FA01.BF01.US09.BQ01,++BF01.US09.,,MDS0111
10KV变压器出线柜,=TA001.EY01.TE01.,++BF01.US06.,===DY1.AH1.,HSC0101
吸顶式报警扬声器,=TA001.TB01.FA01.BF01.US05.PJ01,++BF01.US05.,,
K3,,,,
0.4KV出线,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP6O,
火灾声报警器: 标准,=TA001.TB01.FA01.ALRM.SF22,,,
火灾声报警器: 标准,=TA001.TB01.FA01.ALRM.SF20,,,
0.4KV供电1,,,===DY1.AH1.H01.ZB1.C1DP1,
电动单梁起重机: P3-1,=TA001.BJ01.IN01.QZ01,++BF02.,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.3.1.,CR0101
单相二眼三眼组合暗插座,=TA001.EY01.TE03.,++BF01.US09.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.3.N5.XD02,PS0113
0.4KV出线,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP4O,
安全照明灯: MX1-N3,=TA001.EY01.TE04.BF01.US04.EA02,++BF01.US04.,,SSL0102
低压配电室模拟屏,,,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.5.8,
弱电桥架3配件,=TA001.EY01.TY01.RF.UN06,,,
室外,,++BG01,,
壁灯 - 托架: BMX2-N1,=TA001.EY01.TE04.BF02.EA02,++BF02.US02.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.6.N1.,AGL0112
污水管1,=TA001.ST01.TT01.WM01,,,
J通用管件,=TA001.ST01.TS01.UN.UN25,,,
工艺系统,=TA001.BJ01,,,
语音+数据点,=TA001.TB01.TN01.BF01.US09.TD03,++BF01.US09.,,
