名称,工艺功能,位置,电源功能,设备编码
一位单控暗开关,=TA001.EY01.,++BF01.US06.,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.10.F2.SF01,
智能光电感烟探测器,=TA001.TB01.FA01.BF01.US07.BQ01,++BF01.US07.,,ITD0101
备用,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.1.N11,
备用,,,===DY1.AH1.H01.ZB1.C1DP1.3.DP3O.5.N6,
泵房,,++BF02.US01,,BF02US01
集水池电动闸门 ZM3,=TA001.BJ01.IN01.FQ03,++BF02.,===DY2.AH12.H02.ZB2.D1DP12.3.DP10O.2.1.,GT0103
1回路主进线,,,===DY1.AH1,
AH5柜进线,=TA001.EY01.TE01.,++BF01.US06.,===DY1.AH1.,HSC0101
AH3柜线路,,,===DY1.AH1.AH3,
AH4柜线路,,,===DY1.AH1.AH4,
备用,,,===DY1.AH1.AH6,
AH11柜进线,=TA001.EY01.TE01., ++BF01.US06.,===DY2.AH12.,HSC0502
2回路主进线,,,===DY2.AH12,
AH8柜进线,=TA001.EY01.TE01.,++BF01.US06.,===DY2.AH12.,HSC0104
AH11柜出线,=TA001.EY01.TE01.,++BF01.US06.,===DY2.AH12.,HSC0502
备用,,,===DY2.AH12.AH7,
AH9柜线路,,,===DY2.AH12.AH9,
AH10柜线路,,,===DY2.AH12.AH10,
AH2柜进线,=TA001.EY01.TE01.,++BF01.US06.,===DY1.AH1.,HSC0501
AH2柜出线,=TA001.EY01.TE01.,++BF01.US06.,===DY1.AH1.,HSC0501
AH5柜出线,=TA001.EY01.TE01.,++BF01.US06.,===DY1.AH1.H01.,HSC0101
干式电力变压器,,++BF01.US07.,===DY1.AH1.H01.ZB1.,TR0101
AH8柜出线,=TA001.EY01.TE01.,++BF01.US06.,===DY2.AH12.H02.,HSC0104
干式电力变压器,,++BF01.US10.,===DY2.AH12.H02.ZB2.,TR0102
